"","ROR_id","name","GRID_id"
"1","https://ror.org/04xfq0f34","RWTH Aachen University","grid.1957.a"
"2","https://ror.org/01q8f6705","BASF (Germany)","grid.3319.8"
"3","https://ror.org/01hhn8329","Max Planck Society","grid.4372.2"
"4","https://ror.org/042aqky30","TU Dresden","grid.4488.0"
"5","https://ror.org/03e8s1d88","Potsdam Institute for Climate Impact Research","grid.4556.2"
"6","https://ror.org/05hkkdn48","Fraunhofer Society","grid.4561.6"
"7","https://ror.org/00t3r8h32","University of Lübeck","grid.4562.5"
"8","https://ror.org/00cfam450","Helmholtz Zentrum München","grid.4567.0"
"9","https://ror.org/03mstc592","European Molecular Biology Laboratory","grid.4709.a"
"10","https://ror.org/05r3f7h03","Physikalisch-Technische Bundesanstalt","grid.4764.1"
"11","https://ror.org/00gzkxz88","Weihenstephan-Triesdorf University of Applied Sciences","grid.4819.4"
"12","https://ror.org/020268t49","Papiertechnische Stiftung","grid.4831.e"
"13","https://ror.org/04zc7p361","University of Kassel","grid.5155.4"
"14","https://ror.org/04qb8nc58","Clausthal University of Technology","grid.5164.6"
"15","https://ror.org/05591te55","Ludwig-Maximilians-Universität München","grid.5252.0"
"16","https://ror.org/013czdx64","University Hospital Heidelberg","grid.5253.1"
"17","https://ror.org/00f7hpc57","University of Erlangen-Nuremberg","grid.5330.5"
"18","https://ror.org/059m1v232","Forschungsverbund Berlin","grid.5336.3"
"19","https://ror.org/059mq0909","Siemens (Germany)","grid.5406.7"
"20","https://ror.org/00m0j3d84","Daimler (Germany)","grid.5433.1"
"21","https://ror.org/033n9gh91","Carl von Ossietzky University of Oldenburg","grid.5560.6"
"22","https://ror.org/04tsk2644","Ruhr University Bochum","grid.5570.7"
"23","https://ror.org/04pz7b180","Federal Ministry of Education and Research","grid.5586.e"
"24","https://ror.org/031bsb921","University of Mannheim","grid.5601.2"
"25","https://ror.org/00r1edq15","University of Greifswald","grid.5603.0"
"26","https://ror.org/003sav189","Oldenburger Institut für Informatik","grid.5637.7"
"27","https://ror.org/058kzsd48","University of Paderborn","grid.5659.f"
"28","https://ror.org/01k97gp34","TU Dortmund University","grid.5675.1"
"29","https://ror.org/04mz5ra38","University of Duisburg-Essen","grid.5718.b"
"30","https://ror.org/04vnq7t77","University of Stuttgart","grid.5719.a"
"31","https://ror.org/023b0x485","Johannes Gutenberg University of Mainz","grid.5802.f"
"32","https://ror.org/00ggpsq73","Otto-von-Guericke University Magdeburg","grid.5807.a"
"33","https://ror.org/02azyry73","University of Siegen","grid.5836.8"
"34","https://ror.org/034fmtr90","empirica - Communication and Technology Research","grid.5855.d"
"35","https://ror.org/01j9f6752","University of Koblenz and Landau","grid.5892.6"
"36","https://ror.org/00pd74e08","University of Münster","grid.5949.1"
"37","https://ror.org/0245cg223","University of Freiburg","grid.5963.9"
"38","https://ror.org/00rcxh774","University of Cologne","grid.6190.e"
"39","https://ror.org/001w7jn25","Charité - University Medicine Berlin","grid.6363.0"
"40","https://ror.org/05n911h24","TU Darmstadt","grid.6546.1"
"41","https://ror.org/01weqhp73","Ilmenau University of Technology","grid.6553.5"
"42","https://ror.org/01f3bhg26","Volkswagen Group (Germany)","grid.6569.c"
"43","https://ror.org/032000t02","University of Ulm","grid.6582.9"
"44","https://ror.org/01fe0jt45","Robert Bosch (Germany)","grid.6584.f"
"45","https://ror.org/02vbxt202","ThyssenKrupp (Germany)","grid.6615.4"
"46","https://ror.org/03v4gjf40","Technical University of Berlin","grid.6734.6"
"47","https://ror.org/010nsgg66","Technische Universität Braunschweig","grid.6738.a"
"48","https://ror.org/00a208s56","Chemnitz University of Technology","grid.6810.f"
"49","https://ror.org/031vc2293","TU Bergakademie Freiberg","grid.6862.a"
"50","https://ror.org/04bs1pb34","Hamburg University of Technology","grid.6884.2"
"51","https://ror.org/02kkvpp62","Technical University of Munich","grid.6936.a"
"52","https://ror.org/01jm19r53","TuTech Innovation (Germany)","grid.7280.d"
"53","https://ror.org/03p14d497","University of Augsburg","grid.7307.3"
"54","https://ror.org/00bxsm637","MTU Aero Engines (Germany)","grid.7324.2"
"55","https://ror.org/01c1w6d29","University of Bamberg","grid.7359.8"
"56","https://ror.org/0234wmv40","University of Bayreuth","grid.7384.8"
"57","https://ror.org/01y9bpm73","University of Göttingen","grid.7450.6"
"58","https://ror.org/01hcx6992","Humboldt-Universität zu Berlin","grid.7468.d"
"59","https://ror.org/03d0p2685","Helmholtz Centre for Infection Research","grid.7490.a"
"60","https://ror.org/02hpadn98","Bielefeld University","grid.7491.b"
"61","https://ror.org/000h6jb29","Helmholtz Centre for Environmental Research","grid.7492.8"
"62","https://ror.org/04cdgtt98","German Cancer Research Center","grid.7497.d"
"63","https://ror.org/04bwf3e34","German Aerospace Center","grid.7551.6"
"64","https://ror.org/05vxxvp60","Deutsche Flugsicherung (Germany)","grid.7555.2"
"65","https://ror.org/04zrf7b53","University of Kaiserslautern","grid.7645.0"
"66","https://ror.org/01js2sh04","Deutsches Elektronen-Synchrotron DESY","grid.7683.a"
"67","https://ror.org/038t36y30","Heidelberg University","grid.7700.0"
"68","https://ror.org/04ers2y35","University of Bremen","grid.7704.4"
"69","https://ror.org/03vzbgh69","University Medical Center Freiburg","grid.7708.8"
