Bundesland;Name der Institution;Ort;Einrichtungsart;Trägerschaft Hochschulkompass;OA-Webseite der Institution;OA-Webseite der Institution URL;OA-Beauftragte*r;OA-Beauftragte*r Name;OA-Beauftragte*r URL;OA-Beauftragte*r Quelle URL;Ansprechperson für OA;Ansprechperson für OA URL;(Funktions-)Emailadresse;OA Policy;OA Policy Datum2;OA Policy URL;OA-Strategie;OA-Strategie Datum;OA-Strategie URL;OS Policy;OS Policy Datum;OS Policy URL;Zs. Publikationsfonds;Zs. Publikationsfonds URL;Mono. Publikationsfonds;Mono. Publikationsfonds URL;Repositorium;Repositorium URL;Repositorium andere URL;OA-Verlag;OA-Verlag URL;OJS-Standort;OJS-Standort URL;OA-/OS-Preis;OA-/OS-Preis Kategorie;OA-/OS-Preis URL;Berliner Erklärung;Datum Unterzeichnung Berliner Erklärung;OA2020 Expression of Interest;DORA Institution;Jussieu- Appell;Bearbeiter*in;aktualisiert am;Name (Website Ministerium);Affiliation ROR;ROR ID;GRID ID;Wikidata ID;URL Webseite Institution
Berlin;Hochschule für Wirtschaft und Recht;Berlin;Hochschule;öffentlich-rechtlich;ja;https://www.hwr-berlin.de/hwr-berlin/serviceeinrichtungen/bibliotheken/open-access/;ja;Frank Wehrand;NA;http://www.open-access-berlin.de/open-access/oa_berlin/index.html;ja;https://www.hwr-berlin.de/hwr-berlin/serviceeinrichtungen/bibliotheken/open-access/;openaccess-buero[at]hwr-berlin[?dot]de;ja;2020;https://www.hwr-berlin.de/fileadmin/portal/Dokumente/HWR-Berlin/Mitteilungsbl%C3%A4tter/2020/Mitteilungsblatt_03-2020_ZHV_Open_Access_Policy.pdf;nein;NA;NA;nein;NA;NA;nein;NA;nein;NA;ja;https://opus4.kobv.de/opus4-hwr/home;NA;nein;NA;nein;NA;nein;NA;NA;ja;2018-12-11T00:00:00Z;nein;nein;nein;LM;31.05.2022;Hochschule für Wirtschaft und Recht;NA;https://ror.org/03rkmps36;grid.461940.e;Q464443;https://www.hwr-berlin.de/
Baden-Württemberg;Bundesanstalt für Wasserbau (BAW);Karlsruhe;Ressortforschung;NA;nein;NA;nein;NA;NA;NA;nein;NA;NA;ja;2021;http://www.baw.de/content/publikationen/www-dokumente-oeffentlich/0/BAW_OpenAccess_Richtlinie.pdf;Recherche fehlt;Recherche fehlt;Recherche fehlt;Recherche fehlt;Recherche fehlt;Recherche fehlt;nein;NA;Recherche fehlt;Recherche fehlt;nein;NA;NA;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;2016-02-29T00:00:00Z;nein;nein;nein;AW, SK;2021-07-15T22:00:00Z;NA;NA;https://ror.org/03z6hnk02;grid.493870.1;Q1005545;https://www.baw.de/DE/Home/home_node.html
Bayern;Julius Maximilians Universität Würzburg;Würzburg;Universität;öffentlich-rechtlich;ja;https://www.bibliothek.uni-wuerzburg.de/forschen-publizieren/open-access/;ja;Kristina Hanig;https://www.uni-wuerzburg.de/forschung/openaccess/;NA;ja;https://www.bibliothek.uni-wuerzburg.de/forschen-publizieren/open-access/;"openaccess[at]bibliothek[?dot]uni-wuerzburg[?dot]de; diana.klei[at]bibliothek[dot]uni-wuerzburg[dot]de; claudia.schober[at]bibliothek[dot]uni-wuerzburg[dot]de";ja;2011;https://www.uni-wuerzburg.de/fileadmin/uniwue/Presse/EinBLICK/2011/PDFs/OA_Policy_Wuerzburg_Web.pdf;nein;NA;NA;nein;NA;NA;ja;https://www.bibliothek.uni-wuerzburg.de/forschen-publizieren/open-access/publikationsfonds/;nein;NA;ja;https://opus.bibliothek.uni-wuerzburg.de/home;NA;ja;http://www.wup.uni-wuerzburg.de/startseite/;nein;NA;nein;NA;NA;ja;2011-04-05T00:00:00Z;nein;nein;nein;LM;31.05.2022;Universität Würzburg;University of Würzburg;https://ror.org/00fbnyb24;grid.8379.5;Q161976;https://www.uni-wuerzburg.de
Nordrhein-Westfalen;Bundesinstitut für Berufsbildung (BIBB), Bonn;Bonn;Ressortforschung;NA;ja;https://www.bibb.de/de/35836.php;nein;NA;NA;NA;ja;https://www.bibb.de/de/26480_bodo_roedel.php;NA;ja;2020;https://www.bibb.de/dokumente/pdf/BIBB_OA-Policy_final.pdf;Recherche fehlt;Recherche fehlt;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;nein;NA;Recherche fehlt;Recherche fehlt;ja;https://www.bibb.de/de/90896.php;;nein;NA;nein;NA;Recherche fehlt;Recherche fehlt;Recherche fehlt;ja;2014-05-01T00:00:00Z;nein;nein;nein;AW, SK;2021-06-06T22:00:00Z;Bundesinstitut für Berufsbildung (BIBB), Bonn;NA;https://ror.org/0420tmj11;grid.432854.c;Q1006222;https://www.bibb.de/
Baden-Württemberg;Pädagogische Hochschule Heidelberg;Heidelberg;Universität;öffentlich-rechtlich;ja;https://www.ph-heidelberg.de/forschung/forschungskommunikation/publikationsdienste/open-access.html;nein;NA;NA;NA;ja;https://www.ph-heidelberg.de/forschung/forschungskommunikation/publikationsdienste/open-access/;"openaccess[at]vw[?dot]ph-heidelberg[?dot]de; forschung[at]ph-heidelberg[?dot]de ";ja;2018;https://www.ph-heidelberg.de/fileadmin/de/forschung/Puplikationsdienste/Open-Access-Policy_PH_HD.PDF;nein;NA;NA;nein;NA;NA;ja;https://www.ph-heidelberg.de/bibliothek/service-und-schulungen/open-access/oa-fonds-der-ph/;nein;NA;ja;https://opus.ph-heidelberg.de/home;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;nein;nein;LM;31.05.2022;Pädagogische Hochschule Heidelberg;Heidelberg University of Education;https://ror.org/0044w3h23;grid.461780.c;Q1429906;https://www.ph-heidelberg.de
Bayern;Universität der Bundeswehr München;München;Universität;öffentlich-rechtlich;ja;https://www.unibw.de/ub/publizieren-zitieren/open-access;nein;NA;NA;NA;ja;https://www.unibw.de/ub/publizieren-zitieren/open-access;ubauskunft[at]unibw[?dot]de ;ja;2020;http://dx.doi.org/10.18726/2020_6;nein;NA;NA;nein;NA;NA;ja;https://www.unibw.de/ub/publizieren-zitieren/open-access;ja;https://www.unibw.de/ub/publizieren-zitieren/open-access;ja;https://www.unibw.de/ub/publizieren-zitieren/atheneforschung;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;nein;nein;LM;31.05.2022;Universität der Bundeswehr München;Bundeswehr University Munich;https://ror.org/05kkv3f82;grid.7752.7;Q283099;https://www.unibw.de/
Berlin;Berliner Hochschule für Technik Berlin;Berlin;Hochschule;öffentlich-rechtlich;nein;NA;ja;Prof. Dr.-Ing. Silke Köhler;NA;http://www.open-access-berlin.de/open-access/oa_berlin/index.html;ja;NA;marina[?dot]jirges[at]bht-berlin[?dot]de;ja;2021;https://www.bht-berlin.de/fileadmin/oe/pressestelle/amtliche_mitteilung/2021/amtliche_mitteilung_06-2021.pdf;nein;NA;NA;nein;NA;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;NA;nein;NA;NA;ja;2019-01-24T00:00:00Z;nein;nein;nein;LM;31.05.2022;Beuth Hochschule für Technik Berlin;NA;https://ror.org/00w7whj55;grid.440921.a;Q851413;https://www.beuth-hochschule.de/
Bayern;Katholische Universität Eichstätt-Ingolstadt;Eichstätt;Universität;öffentlich-rechtlich;ja;https://www.ku.de/bibliothek/forschen-und-publizieren/open-access;nein;NA;NA;NA;ja;https://www.ku.de/bibliothek/forschen-und-publizieren/open-access;maria[?dot]loeffler[at]ku.de ;ja;2016;https://www.ku.de/fileadmin/1901/PDF/UBEI_Open-Access-Policy-KU.pdf;nein;NA;NA;nein;NA;NA;ja;https://www.ku.de/bibliothek/forschen-und-publizieren/open-access;nein;NA;ja;http://edoc.ku-eichstaett.de/;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;nein;nein;LM;31.05.2022;Katholische Universität Eichstätt-Ingolstadt;Catholic University of Eichstätt-Ingolstadt;https://ror.org/00mx91s63;grid.440923.8;Q315161;https://www.ku.de/
Baden-Württemberg;Duale Hochschule Baden-Württemberg Heidenheim;Heidenheim;Hochschule;öffentlich-rechtlich;ja;https://www.dhbw.de/die-dhbw/forschung-innovation-und-transfer/forschung-innovation-und-transfer#open-access;nein;NA;NA;NA;ja;https://www.heidenheim.dhbw.de/service-einrichtungen/bibliothek#service-ausleihe;"berenz[at]dhbw[?dot]de; sylvia[?dot]stegmaier[at]dhbw-heidenheim[?dot]de";ja;2020;https://www.dhbw.de/fileadmin/user_upload/Dokumente/Forschung/Open_Access_Policy_der_DHBW_2020.pdf;nein;NA;NA;nein;NA;NA;ja;https://www.heidenheim.dhbw.de/service-einrichtungen/bibliothek#service-ausleihe;nein;NA;nein;NA;NA;nein;NA;nein;NA;nein;NA;NA;nein;NA;nein;nein;nein;LM;31.05.2022;Duale Hochschule Baden-Württemberg Heidenheim;NA;NA;NA;Q1262602;https://www.heidenheim.dhbw.de/startseite
Bayern;Technische Universität München ;München;Universität;öffentlich-rechtlich;ja;https://www.ub.tum.de/open-access;nein;NA;NA;NA;ja;https://www.ub.tum.de/kontakt/open-access;open-access[at]ub[?dot]tum[?dot]de;ja;2014;https://www.ub.tum.de/open-access-policy;nein;NA;NA;nein;NA;NA;ja;https://ub.tum.de/publikationsfonds;nein;NA;ja;https://mediatum.ub.tum.de/;NA;ja;https://www.ub.tum.de/tumuniversitypress;nein;NA;nein;NA;NA;ja;2015-05-07T00:00:00Z;nein;nein;nein;LM;31.05.2022;Technische Universität München (TUM);Technical University of Munich;https://ror.org/02kkvpp62;grid.6936.a;Q157808;https://www.tum.de/
