Name deutsch;Name englisch;URL der Einrichtung;Einrichtungsart;Einrichtungsart englisch;DFG Instituts ID;Straße;Hausnummer;Postfach;Postleizahl vor Ort;Ort;Postleitzahl nach Ort;DESTATIS Fächerguppe;DESTATIS Lehr- Forschungsbereich;DESTATIS Fachgebiet;GRID ID;Crossref ID 1;Crossref ID 2;Crossref ID 3;URL GERiT Nachweis;;;
Universität Mannheim;University of Mannheim;www.uni-mannheim.de;Universität;university;10045;Schloss;;;68131;Mannheim;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.5601.2;5,011E+11;;;http://www.gerit.org/de/institutiondetail/10045;;;
Ruprecht-Karls-Universität Heidelberg;Heidelberg University;www.uni-heidelberg.de/;Universität;university;10047;Grabengasse;1;;69117;Heidelberg;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.7700.0;;;;http://www.gerit.org/de/institutiondetail/10047;;;
Universität Hohenheim;University of Hohenheim;www.uni-hohenheim.de;Universität;university;10049;;;;70593;Stuttgart;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.9464.f;100009613;;;http://www.gerit.org/de/institutiondetail/10049;;;
Eberhard Karls Universität Tübingen;University of Tübingen;www.uni-tuebingen.de;Universität;university;10051;Geschwister-Scholl-Platz;;;72074;Tübingen;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.10392.39;5,011E+11;;;http://www.gerit.org/de/institutiondetail/10051;;;
Universität Konstanz;University of Konstanz;www.uni-konstanz.de;Universität;university;10053;Universitätsstraße;10;;78464;Konstanz;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.9811.1;;;;http://www.gerit.org/de/institutiondetail/10053;;;
Albert-Ludwigs-Universität Freiburg;University of Freiburg;www.uni-freiburg.de/;Universität;university;10055;;;;79085;Freiburg;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.5963.9;;;;http://www.gerit.org/de/institutiondetail/10055;;;
Universität Ulm;Ulm University of Applied Sciences;www.uni-ulm.de/;Universität;university;10057;Helmholtzstraße;16;;89081;Ulm;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.6582.9;5,011E+11;;;http://www.gerit.org/de/institutiondetail/10057;;;
Universität Stuttgart;University of Stuttgart;www.uni-stuttgart.de/home/;Universität;university;10059;;;Postfach 106037;70049;Stuttgart;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.5719.a;;;;http://www.gerit.org/de/institutiondetail/10059;;;
Pädagogische Hochschule Heidelberg;University of Education;www.ph-heidelberg.de;Universität;university;10063;Keplerstraße;87;;69120;Heidelberg;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.461780.c;;;;http://www.gerit.org/de/institutiondetail/10063;;;
Pädagogische Hochschule Schwäbisch Gmünd;University of Education Schwäbisch Gmünd;www.ph-gmuend.de;Universität;university;10064;Oberbettringer Straße;200;;73525;Schwäbisch Gmünd;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.460114.6;;;;http://www.gerit.org/de/institutiondetail/10064;;;
Pädagogische Hochschule Ludwigsburg;University of Education of Ludwigsburg;www.ph-ludwigsburg.de;Universität;university;10065;Reuteallee;46;;71634;Ludwigsburg;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.449015.d;;;;http://www.gerit.org/de/institutiondetail/10065;;;
Pädagogische Hochschule Karlsruhe;University of Education Karlsruhe;www.ph-karlsruhe.de;Universität;university;10066;Bismarckstraße;10;;76133;Karlsruhe;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.461786.a;;;;http://www.gerit.org/de/institutiondetail/10066;;;
Hochschule für Musik Freiburg;State College of Music in Freiburg;www.mh-freiburg.de/start/;Musik/Kunst-HS;college of music/art;10067;Schwarzwaldstraße;141;;79102;Freiburg;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.466440.4;;;;http://www.gerit.org/de/institutiondetail/10067;;;
Pädagogische Hochschule Freiburg;University of Education Freiburg;www.ph-freiburg.de;Universität;university;10068;Kunzenweg;21;;79117;Freiburg;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.461778.b;;;;http://www.gerit.org/de/institutiondetail/10068;;;
Pädagogische Hochschule Weingarten;University of Education Weingarten;www.ph-weingarten.de;Universität;university;10069;Kirchplatz;2;;88250;Weingarten;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.466241.3;;;;http://www.gerit.org/de/institutiondetail/10069;;;
Hochschule der Medien (HdM) Stuttgart;Media University (HdM) Stuttgart;www.hdm-stuttgart.de/;Weitere HS/FS;univ.of appl.science;10070;Nobelstraße;10;;70569;Stuttgart;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.434945.b;;;;http://www.gerit.org/de/institutiondetail/10070;;;
Hochschule für Technik Stuttgart;Stuttgart University of Applied Sciences;www.hft-stuttgart.de;Weitere HS/FS;univ.of appl.science;10071;Schellingstraße;24;;70174;Stuttgart;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.434950.f;;;;http://www.gerit.org/de/institutiondetail/10071;;;
Hochschule Aalen - Technik und Wirtschaft;Aalen University of Applied Sciences;www.hs-aalen.de/;Weitere HS/FS;univ.of appl.science;10072;Beethovenstraße;1;;73430;Aalen;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.440920.b;;;;http://www.gerit.org/de/institutiondetail/10072;;;
Hochschule Heilbronn (HHN);Heilbronn University of Applied Sciences;www.hs-heilbronn.de/;Weitere HS/FS;univ.of appl.science;10073;Max-Planck-Straße;39;;74081;Heilbronn;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.461673.1;;;;http://www.gerit.org/de/institutiondetail/10073;;;
Hochschule Esslingen;Esslingen University of Applied Sciences;www.hs-esslingen.de/;Weitere HS/FS;univ.of appl.science;10074;Kanalstraße;33;;73728;Esslingen;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.448696.1;;;;http://www.gerit.org/de/institutiondetail/10074;;;
Hochschule Karlsruhe - Technik und Wirtschaft (HsKA);Karlsruhe University of Applied Sciences;www.hs-karlsruhe.de;Weitere HS/FS;univ.of appl.science;10075;Moltkestraße;30;;76133;Karlsruhe;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.434954.b;;;;http://www.gerit.org/de/institutiondetail/10075;;;
Hochschule Konstanz Technik; Wirtschaft und Gestaltung (HTWG);Konstanz University of Applied Sciences;www.htwg-konstanz.de/;Weitere HS/FS;univ.of appl.science;10076;Alfred-Wachtel-Straße;8;;78462;Konstanz;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.454352.1;;;;http://www.gerit.org/de/institutiondetail/10076;;
Technische Hochschule Ulm (THU);Ulm University of Applied Sciences;www.hs-ulm.de;Weitere HS/FS;univ.of appl.science;10077;Prittwitzstraße;10;;89075;Ulm;;Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen);Hochschule insgesamt;Hochschule allgemein;grid.434100.2;;;;http://www.gerit.org/de/institutiondetail/10077;;;
